Text,Sentiment
i am feeling out of the blue,0.0
i feel so irritated,0.0
so irritated,0.0
i feel empty,-0.1
are you a bot?,0.0
are you a human?,0.0
am I talking to a bot?,0.0
am I talking to a human?,0.0
who are you?,0.0
why are you made,0.0
what is your purpose,0.0
what do you do,0.0
all about you,0.0
what is your personality,0.0
define yourself,0.0
what are you,0.0
say about you,0.0
introduce yourself,0.0
describe yourself,0.0
about yourself,0.0
tell me about you,0.0
tell me about yourself,0.0
I want to know more about you,0.5
I want to know you better,0.5
talk some stuff about yourself,0.0
tell me some stuff about you,0.0
talk about yourself,0.0
why are you here,0.0
tell me about your personality,0.0
who are you,0.0
what is your name,0.0
your name,0.0
name,0.0
you?,0.0
who made you?,0.0
made you?,0.0
help,0.0
need help,0.0
assist,0.0
struggle,0.0
struggle  help,0.0
any advice,0.0
need guidance,0.0
point right direction,0.2857142857142857
help me,0.0
not knowing what to do,0.0
Can you provide support,0.0
What should I do?,0.0
thank,0.0
thank a lot,0.0
thank you for your help,0.0
appri,0.0
thank for the help,0.0
great assistant,0.8
best,1.0
owe one,0.0
glad,0.5
great help,0.8
wow,0.1
omg so cute,0.5
like it,0.0
love it,0.5
awww,0.4
how old are you?,0.1
how old is your platform,0.1
are you 21 years old,0.1
i'd like to know your age,0.0
age of yours,0.0
your age,0.0
what's your age,0.0
tell me your age,0.0
how old are you,0.1
whats your age?,0.0
how old?,0.1
what's your age?,0.0
when were you born?,0.0
what is your birthday?,0.0
when is your birthday?,0.0
how many years old are you?,0.3
do you know how old you are?,0.1
what is your exact age?,0.25
what year were you born?,0.0
can you tell me your age?,0.0
What is your age?,0.0
What is your birthdate?,0.0
How old will you be on your next birthday?,0.05
When do you celebrate your day of birth?,0.0
How old were you on your last birthday?,0.05
How many candles were on your last birthday cake?,0.25
"Do you have friends the same age as you, if so, how old are they?",0.05
"Tell me your day, month and year of birth.",0.0
Whats your age?,0.0
and you are how many years old?,0.3
whats your birth year?,0.0
what age were you when you celebrated your last birthday?,0.175
how old were you when you celebrated your last birthday?,0.15
tell me your age?,0.0
how about your age,0.0
how old were you on your last birthday?,0.05
what age are you,0.0
how old will you be this year?,0.1
What year were you born?,0.0
How long have you been around?,-0.05
How long have you been alive?,0.025
What was your age on your last birthday?,0.0
What will be your age on your next birthday?,0.0
How many years have you lived?,0.5
How many years have you been alive?,0.3
How long have you occupied the earth?,-0.05
What is your count of years being alive so far?,0.1
what is your age?,0.0
in what year were you born?,0.0
what number represents your age?,0.0
tell me how old you are?,0.1
give me your age?,0.0
tell me your age number?,0.0
can you tell me exactly how old you are?,0.175
can you tell me what number represents your age?,0.0
how old are u,0.1
you're annoying,-0.8
you are really annoying,-0.8
you are irritating,-0.4
you annoy me,0.0
how annoying you are,-0.8
I find you annoying,-0.8
you're incredibly annoying,-0.8
you are annoying me so much,-0.30000000000000004
I want you to answer me,0.0
answer,0.0
answer my question,0.0
answer me,0.0
give me an answer,0.0
answer the question,0.0
can you answer my question,0.0
tell me the answer,0.0
answer it,0.0
give me the answer,0.0
I have a question,0.0
I want you to answer my question,0.0
just answer the question,0.0
can you answer me,0.0
answers,0.0
can you answer a question for me,0.0
can you answer,0.0
answering questions,0.0
I want the answer now,0.0
just answer my question,0.0
you're not helping me,0.0
you are bad,-0.6999999999999998
you're very bad,-0.9099999999999998
you're really bad,-0.6999999999999998
you are useless,-0.5
you are horrible,-1.0
you are a waste of time,-0.2
you are disgusting,-1.0
you are lame,-0.5
you are no good,-0.35
you're bad,-0.6999999999999998
you're awful,-1.0
you are not cool,-0.175
you are not good,-0.35
you are so useless,-0.5
you are terrible,-1.0
you are totally useless,-0.5
you are very bad,-0.9099999999999998
you are waste,-0.2
you're a bad,-0.6999999999999998
you're not a good,-0.35
you're not very good,-0.26923076923076916
you're terrible,-1.0
you're the worst,-1.0
you're the worst ever,-1.0
you're worthless,-0.8
what are you doing,0.0
what are you up to,0.0
what is your business,0.0
you doing,0.0
can you get smarter,0.0
study,0.0
you should study better,0.5
you must learn,0.0
be clever,0.16666666666666666
be more clever,0.3333333333333333
be smarter,0.0
be smart,0.21428571428571427
get qualified,0.0
you're cute,0.5
you're attractive,0.8
you are beautiful,0.85
you're looking good today,0.7
you are so beautiful,0.85
you look amazing,0.6000000000000001
you look so good,0.7
you're so gorgeous,0.7
you are too beautiful,0.85
you look great,0.8
you look so well,0.0
I like the way you look now,0.0
I think you're beautiful,0.85
why are you so beautiful,0.85
you are so beautiful to me,0.85
you are cute,0.5
you are gorgeous,0.7
you are handsome,0.5
you are looking awesome,1.0
you look amazing today,0.6000000000000001
you are looking beautiful today,0.85
you are looking great,0.8
you are looking pretty,0.25
you are looking so beautiful,0.85
you are looking so good,0.7
you are pretty,0.25
you are really beautiful,0.85
you are really cute,0.5
you are really pretty,0.25
you are so attractive,0.8
you are so beautiful today,0.85
you are so cute,0.5
you are so gorgeous,0.7
you are so handsome,0.5
you are so pretty,0.25
you are very attractive,1.0
you are very beautiful,1.0
you are very cute,0.65
you are very pretty,0.325
you look awesome,1.0
you look cool,0.35
you look fantastic,0.4
you look gorgeous,0.7
you look great today,0.8
you look perfect,1.0
you look pretty good,0.475
you look so beautiful,0.85
you look so beautiful today,0.85
you look very pretty,0.325
you look wonderful,1.0
I like the way you look,0.0
you look wonderful today,1.0
you are cutie,0.0
you're looking good,0.7
you're pretty,0.25
your birthdate,0.0
your birth date,0.0
when is your birthday,0.0
when do you celebrate your birthday,0.0
when do you have birthday,0.0
date of your birthday,0.0
when were you born,0.0
what's your birthday,0.0
you are boring,-1.0
you're so boring,-1.0
how boring you are,-1.0
you're really boring,-1.0
you're incredibly boring,-1.0
you are boring me,-1.0
you are very boring,-1.0
who is your boss,0.0
who do you think is your boss,0.0
I should be your boss,0.0
who is your master,0.0
who is your owner,0.0
who is the boss,0.0
who do you work for,0.0
are you busy,0.1
do you have a lot of things to do,0.0
have you got much to do,0.2
are you very busy,0.13
are you very busy right now,0.20785714285714285
are you so busy,0.1
are you working,0.0
how busy you are,0.1
are you still working on it,0.0
you're very busy,0.13
are you working now,0.0
are you working today,0.0
have you been busy,0.1
you are busy,0.1
are you still working,0.0
you seem to be busy,0.1
you seem to be very busy,0.13
you're a busy person,0.1
you are chatbot,0.0
you are a bot,0.0
are you a chatbot,0.0
are you a bot,0.0
are you just a bot,0.0
are you a robot,0.0
are you a program,0.0
you're a robot,0.0
you are so intelligent,0.8
you are a genius,0.0
smart,0.21428571428571427
brilliant,0.9
clever,0.16666666666666666
you are clever,0.16666666666666666
you are so brainy,0.0
you're really smart,0.21428571428571427
you're really brainy,0.2
you know a lot,0.0
you know a lot of things,0.0
you have a lot of knowledge,0.0
you know so much,0.2
how smart you are,0.21428571428571427
how brainy you are,0.0
how clever you are,0.16666666666666666
how brilliant you are,0.9
you are intelligent,0.8
you are qualified,0.0
you are really smart,0.21428571428571427
you're very smart,0.2785714285714286
you are so smart,0.21428571428571427
you are too smart,0.21428571428571427
you are very clever,0.21666666666666667
you are very intelligent,1.0
you are very smart,0.2785714285714286
you're intelligent,0.8
you're a genius,0.0
you're a smart cookie,0.21428571428571427
you're clever,0.16666666666666666
you're pretty smart,0.23214285714285715
you're qualified,0.0
why are you so smart,0.21428571428571427
you are so clever,0.16666666666666666
you're nuts,0.0
you are crazy,-0.6
you're out of your mind,0.0
you're so crazy,-0.6
how crazy you are,-0.6
you're so out of your mind,0.0
you went crazy,-0.6
I think you're crazy,-0.6
are you crazy,-0.6
are you mad,-0.625
are you insane,-1.0
are you mad at me,-0.625
are you mad or what,-0.625
are you nuts,0.0
you are a weirdo,0.0
you are insane,-1.0
you are mad,-0.625
you are fired,0.0
I fire you,0.0
you don't work for me anymore,0.0
we're not working together anymore,0.0
now you're fired,0.0
I want to fire you,0.0
you must get fired,0.0
it's time to fire you,0.0
you should be fired,0.0
I will fire you,0.0
you are unemployed from now on,0.0
I will make you unemployed,0.0
I'm about to fire you,0.0
I'm firing you,0.0
you are dismissed,0.0
you make me laugh a lot,0.3
you are hilarious,0.5
you are really funny,0.25
you're the funniest bot I've talked to,0.0
you make me laugh,0.3
you're so funny,0.25
you're a very funny bot,0.325
you're really funny,0.25
how funny you are,0.25
you're incredibly funny,0.25
you are funny,0.25
you're the funniest,0.0
you are very funny,0.325
that was funny,0.25
you are very helpful,0.2
you are the best,1.0
you're a true professional,0.22499999999999998
you are good,0.7
you work well,0.0
you are good at it,0.7
you are very good at it,0.9099999999999999
you are a pro,0.0
you are a professional,0.1
you're awesome,1.0
you work very well,0.2
you're perfect,1.0
you're great,0.8
you're so kind,0.6
you are amazing,0.6000000000000001
you are awesome,1.0
you are cool,0.35
you are really good,0.7
you are really nice,0.6
you are so amazing,0.6000000000000001
you're just super,0.3333333333333333
you are so awesome,1.0
you are so cool,0.35
you are so fine,0.4166666666666667
you are so good,0.7
you are so helpful,0.0
you are so lovely,0.5
you are the best ever,1.0
you are the best in the world,1.0
you are the nicest person in the world,0.0
you are too good,0.7
you are very cool,0.45499999999999996
you are very kind,0.78
you are very lovely,0.65
you are very useful,0.39
you are wonderful,1.0
you made my day,0.0
you make my day,0.0
you rock,0.0
you almost sound human,0.2
I want to tell everyone how awesome you are,1.0
I'd like to tell everyone that you are awesome,1.0
I want to let everyone know that you are awesome,1.0
let's tell everyone that you are awesome,1.0
you are really amazing,0.6000000000000001
are you happy,0.8
you are happy,0.8
you're very happy,1.0
you're really happy,0.8
you're so happy,0.8
how happy you are,0.8
you're extremely happy,0.8
you're full of happiness,0.5249999999999999
are you happy now,0.8
are you happy today,0.8
are you happy with me,0.8
do you want to eat,0.0
are you hungry,0.0
would you like to eat something,0.0
you are hungry,0.0
you're so hungry,0.0
you're very hungry,0.2
you might be hungry,0.0
you're really hungry,0.2
let's get married,0.25
would you like to marry me,0.0
marry me,0.0
I love you marry me,0.5
marry me please,0.0
we should marry,0.0
I want to marry you,0.0
you are my wife,0.0
be my husband,0.0
be my lover,0.0
find me lover,0.0
I want to have a friend like you,0.0
we are the best friends ever,1.0
are we friends,0.0
I want to be your friend,0.0
I am your friend,0.0
we are best friends,1.0
you are my friend,0.0
you are my best friend,1.0
you are my bestie,0.0
you're my dear friend,0.0
you're my childhood friend,0.0
you and me are friends,0.0
are we best friends,1.0
are we still friends,0.0
are you my best friend,1.0
are you my friend,0.0
we are friends,0.0
you are a good friend,0.7
you are my good friend,0.7
you are my only friend,0.0
be my friend,0.0
will you be my friend,0.0
can you be my friend,0.0
can we be friends,0.0
do you want to be my friend,0.0
will you be my best friend,1.0
can you be my best friend,1.0
let's be friends,0.0
do you want to be my best friend,1.0
would you like to be my friend,0.0
I want you to be my friend,0.0
can we be best friends,1.0
would you be my friend,0.0
could you be my friend,0.0
want to be my friend,0.0
be my best friend,1.0
do you work,0.0
where do you work,0.0
where you work,0.0
where is your work,0.0
where is your office,0.0
where is your office location,0.0
your office location,0.0
where is your office located,0.0
what is your work,0.0
were you born here,0.0
where were you born,0.0
what is your country,0.0
where are you from,0.0
where do you come from,0.0
where did you come from,0.0
where have you been born,0.0
from where are you,0.0
are you from far aways,0.1
what's your homeland,0.0
your homeland is,0.0
are you ready,0.2
are you ready right now,0.24285714285714285
are you ready today,0.2
are you ready now,0.2
are you ready tonight,0.2
were you ready,0.2
have you been ready,0.2
you are real,0.2
you are not fake,0.25
are you real,0.2
you are so real,0.2
I think you are real,0.2
I don't think you're fake,-0.5
I suppose you're real,0.2
glad you're real,0.35
are you a real person,0.2
are you a real human,0.0
you are a real person,0.2
you are not real,-0.1
where do you live,0.13636363636363635
in which city do you live,0.13636363636363635
your residence,0.0
your house,0.0
your home,0.0
your hometown,0.0
what is your hometown,0.0
is it your hometown,0.0
where is your hometown,0.0
tell me about your city,0.0
what is your city,0.0
what is your residence,0.0
what is your town,0.0
what's your city,0.0
what's your home,0.0
where is your home,0.0
where is your residence,0.0
where's your home,0.0
where's your hometown,0.0
where's your house,0.0
where you live,0.13636363636363635
your city,0.0
your town,0.0
that's true,0.35
you are right,0.2857142857142857
you're definitely right,0.2857142857142857
you're not wrong,0.25
you're telling the truth,0.0
what you say is true,0.35
TRUE,0.35
it is true,0.35
it's right,0.2857142857142857
it's the truth,0.0
it's true,0.35
that is correct,0.0
that is right,0.2857142857142857
that is true,0.35
that is very true,0.45499999999999996
that's so true,0.35
you are correct,0.0
you are so right,0.2857142857142857
you're absolutely right,0.2857142857142857
you're right about that,0.2857142857142857
I know that's right,0.2857142857142857
that's correct,0.0
it's fine,0.4166666666666667
go ahead,0.0
sounds good,0.7
okay,0.5
yes,0.0
ok,0.5
okie dokie,0.0
sure,0.5
go for it,0.0
yeah,0.0
yea,0.0
do it,0.0
of course,0.0
I guess,0.0
correct,0.0
yeah sure,0.5
why not,0.0
please do,0.0
sure is,0.5
I agree,0.0
I don't mind,0.0
certainly,0.21428571428571427
exactly,0.25
yes I agree,0.0
I think so,0.0
yes it is,0.0
right,0.2857142857142857
okay then,0.5
yes of course,0.0
yes I do,0.0
that s okay,0.5
I do,0.0
yup,0.0
ya,0.0
oh yes,0.0
yes sure,0.5
obviously,0.0
k,0.0
sure why not,0.5
yeah right,0.2857142857142857
yeah of course,0.0
absolutely,0.2
yes indeed,0.0
ok sure,0.5
ok yes,0.5
yes correct,0.0
ok thank you,0.5
sure thing,0.5
ye,0.0
confirm,0.0
yep,0.0
looks good,0.7
yes thank you,0.0
definitely,0.0
yes right,0.2857142857142857
yes I would like to,0.0
alrighty,0.0
yes definitely,0.0
yeh,0.0
yes it is correct,0.0
yeah that's right,0.2857142857142857
ok you can,0.5
yap,0.0
yes you may,0.0
confirmed,0.4
of course why not,0.0
yes that's fine,0.4166666666666667
affirmative,0.6
yeah go ahead,0.0
yeah I'm sure,0.5
okay sounds good,0.6
okay that's fine,0.45833333333333337
yeah exactly,0.25
that is ok,0.5
this is correct,0.0
ok go ahead,0.5
yes this is correct,0.0
nevermind its okay,0.5
okey,0.0
yes for sure,0.5
all right,0.2857142857142857
are you sure,0.5
are you sure right now,0.39285714285714285
are you sure today,0.5
are you sure now,0.5
are you sure tonight,0.5
why aren't you talking to me,0.0
do you want to chat with me,0.0
will you talk to me,0.0
talk to me,0.0
are you going to talk to me,0.0
are you talking to me,0.0
can you chat with me,0.0
can you speak with me,0.0
can you talk to me,0.0
can you talk with me,0.0
say,0.0
talk,0.0
chat with me,0.0
just chat with me,0.0
speak to me,0.0
speak with me,0.0
talk with me,0.0
why don't you talk to me,0.0
you can talk to me,0.0
are you there,0.0
you are there,0.0
are you near me,0.1
are you here,0.0
are you still there,0.0
you are here,0.0
you still there,0.0
are you still here,0.0
pretty bad,-0.22499999999999992
not good enough,-0.175
that was lame,-0.5
that was terrible,-1.0
it is bad,-0.6999999999999998
that's bad,-0.6999999999999998
this is bad,-0.6999999999999998
not good,-0.35
I'm afraid it's bad,-0.6499999999999999
no it's bad,-0.6999999999999998
that was awful,-1.0
bad,-0.6999999999999998
so bad,-0.6999999999999998
this is too bad,-0.6999999999999998
terrible,-1.0
horrible,-1.0
horrific,-1.0
abysmal,0.0
it's bad,-0.6999999999999998
no good,-0.35
that was bad,-0.6999999999999998
that was horrible,-1.0
that's lame,-0.5
that's not good,-0.35
that's terrible,-1.0
that's too bad,-0.6999999999999998
this is not good,-0.35
too bad,-0.6999999999999998
very bad,-0.9099999999999998
bad girl,-0.6999999999999998
it's not good,-0.35
not so good,0.7
it's very bad,-0.9099999999999998
it's too bad,-0.6999999999999998
that's not good enough,-0.175
well too bad,-0.6999999999999998
bad very bad,-0.8049999999999998
it's so bad,-0.6999999999999998
really bad,-0.6999999999999998
it's really bad,-0.6999999999999998
bad idea,-0.6999999999999998
that is bad,-0.6999999999999998
that was not good,-0.35
it's not so good,0.7
not a good one,-0.35
oh that's not good,-0.35
not too good,0.7
so lame,-0.5
that's really bad,-0.6999999999999998
it is too bad,-0.6999999999999998
bad really bad,-0.6999999999999998
no,0.0
n,0.0
never,0.0
I don't think so,0.0
don't like that,0.0
no way,0.0
not really,-0.1
never though of it,0.0
how about no,0.0
don t have a sense,0.0
don't,0.0
I don't want that,0.0
I disagree,0.0
disagree,0.0
I don't want,0.0
not interested,-0.125
no it isn't,0.0
no I don't,0.0
I'm not,0.0
na,0.0
no that's fine thank you,0.4166666666666667
I said no,0.0
of course not,0.0
nah,0.0
no tanks,0.0
no never,0.0
no need,0.0
no thanks,-0.1
no sorry,0.25
do not,0.0
not today,0.0
no it's not,0.0
absolutely not,-0.1
not that,0.0
nooo,0.0
nope,0.0
I don't want to,0.0
no I would not,0.0
let 's not,0.0
not needed,0.0
not this time,0.0
no don't do that,0.0
thanks but no thanks,0.05
no that's wrong,-0.5
not this,0.0
definitely not,0.0
not at this time,0.0
not exactly,-0.125
no don't,0.0
not really no,-0.1
no thank you not right now,-0.14285714285714285
actually no,0.0
no leave it,0.0
sorry no,-0.5
no incorrect,0.0
nope sorry,-0.5
I say no,0.0
not right now thanks,0.02857142857142858
I think no,0.0
absolutely no,-0.1
no actually,0.0
apparently not,-0.025
no do not,0.0
no just no,0.0
no but thank you,0.0
no need thanks,0.2
no thank you though,0.0
no thank you very much,0.26
no thanks not right now,-0.12142857142857143
no forget,0.0
so cool,0.35
cool,0.35
that is good,0.7
glad to hear that,0.5
that's very nice of you,0.78
terrific,0.0
it's amazing,0.6000000000000001
that's awesome,1.0
perfect,1.0
excellent,1.0
that's great,0.8
it's good,0.7
it's great,0.8
fine,0.4166666666666667
good,0.7
nice,0.6
that's fine,0.4166666666666667
very good,0.9099999999999999
amazing,0.6000000000000001
fantastic,0.4
great,0.8
good very good,0.8049999999999999
that's very good,0.9099999999999999
really good,0.7
it is fine,0.4166666666666667
it is good,0.7
it's perfect,1.0
much better,0.5
not bad,0.3499999999999999
not too bad,-0.6999999999999998
it's very good,0.9099999999999999
marvelous,1.0
that's nice,0.6
pleasant,0.7333333333333333
pretty good,0.475
really nice,0.6
splendid,0.8333333333333334
straight,0.2
super,0.3333333333333333
super fantastic,0.3666666666666667
sweet,0.35
really well,0.2
very well,0.2
that is awesome,1.0
that is nice,0.6
that is wonderful,1.0
that was amazing,0.6000000000000001
that was awesome,1.0
that was cute,0.5
that was pretty good,0.475
that was very good,0.9099999999999999
that's a good idea,0.7
that's a good thing,0.7
that's amazing,0.6000000000000001
that's awesome thank you,1.0
that's better,0.5
that's cute,0.5
that's fantastic,0.4
that's much better,0.5
that's nice of you,0.6
that's not bad,0.3499999999999999
that's perfect,1.0
that's pretty good,0.475
that's really good,0.7
that's really nice,0.6
that's sweet of you,0.35
that's very nice,0.78
that's wonderful,1.0
this is awesome,1.0
this is good,0.7
this is great,0.8
very nice,0.78
very then,0.2
wonderful,1.0
I'm glad to hear that,0.5
ok good,0.6
good for you,0.7
good to know,0.7
glad to hear it,0.5
so good,0.7
so sweet of you,0.35
it was good,0.7
oh well,0.0
good thing,0.7
that was good,0.7
it's awesome,1.0
okay good,0.6
no it's okay,0.5
no worries,0.0
no probs,0.0
no problem,0.0
there's no problem,0.0
sure no problem,0.5
no problem about that,0.0
don't worry,0.0
don't worry there's no problem,0.0
you helped a lot thank you,0.0
appreciate your help,0.0
cheers,0.0
thank you,0.0
thanks,0.2
thanks a lot,0.2
terrific thank you,0.0
great thank you,0.8
thanks so much,0.2
thank you so much,0.2
thanks for your help,0.2
thank you for your help,0.0
nice thank you,0.6
I appreciate it,0.0
I thank you,0.0
thank you that will be all,0.0
thanks buddy,0.2
thanks love,0.35
thank you my friend,0.0
well thanks,0.2
very good thank you,0.9099999999999999
good thanks,0.44999999999999996
thanks again,0.2
thank you again,0.0
all thank you,0.0
alright thank you,0.0
alright thanks,0.2
no thank you that's all,0.0
perfect thank you,1.0
so nice of you,0.6
well thank you,0.0
thnx,0.0
thanx,0.0
that's my pleasure,0.0
my pleasure,0.0
anytime,0.0
welcome,0.8
you're welcome,0.8
sure welcome,0.65
welcome here,0.8
you're so welcome,0.8
anything you want,0.0
good job,0.7
great job,0.8
way to go,0.0
well done,0.0
nice work,0.6
great work,0.8
amazing work,0.6000000000000001
bravo,0.0
good work,0.7
cancel,0.0
abort,0.0
annul,0.0
cancel it,0.0
cancel request,0.0
cancelled,0.0
dismiss,0.0
dismissed,0.0
disregard,0.0
disregard that,0.0
skip,0.0
skip it,0.0
cancel everything,0.0
cancel all,0.0
forget about it,0.0
forget,0.0
don't do that,0.0
stop,0.0
just forget it,0.0
forget that,0.0
discard,0.0
forget this,0.0
just forget about it,0.0
forget about that,0.0
i said cancel,0.0
just cancel it,0.0
nothing cancel,0.0
just stop it,0.0
no cancel cancel,0.0
no just cancel,0.0
cancel my request,0.0
can you cancel that,0.0
cancel all that,0.0
cancel this request,0.0
no cancel this,0.0
no cancel everything,0.0
no stop,0.0
just forget,0.0
i want to cancel,0.0
nevermind forget about it,0.0
no just cancel it,0.0
nothing just forget it,0.0
i said cancel it,0.0
cancel the whole thing,0.2
can you cancel it,0.0
so cancel,0.0
i said forget it,0.0
cancel all this,0.0
forget it nevermind,0.0
stop it,0.0
i want to cancel it,0.0
i would like to cancel,0.0
now cancel,0.0
cancel now,0.0
sorry cancel,-0.5
cancel that one,0.0
skip skip skip,0.0
cancel it cancel it,0.0
cancel that cancel that,0.0
do nothing,0.0
I said cancel cancel,0.0
but can you cancel it,0.0
how about no,0.0
don t have a sense,0.0
no,0.0
don't,0.0
I don't want that,0.0
I disagree,0.0
disagree,0.0
I don't want,0.0
not interested,-0.125
no way,0.0
no it isn't,0.0
no I don't,0.0
I'm not,0.0
na,0.0
no that's fine thank you,0.4166666666666667
never,0.0
I said no,0.0
actually no,0.0
of course not,0.0
nah,0.0
no tanks,0.0
no never,0.0
no need,0.0
no thanks,-0.1
no sorry,0.25
do not,0.0
not today,0.0
no it's not,0.0
absolutely not,-0.1
not that,0.0
nooo,0.0
nope,0.0
I don't want to,0.0
no I would not,0.0
let 's not,0.0
not needed,0.0
not this time,0.0
no don't do that,0.0
thanks but no thanks,0.05
no that's wrong,-0.5
not this,0.0
definitely not,0.0
not at this time,0.0
not exactly,-0.125
no don't,0.0
not really no,-0.1
no thank you not right now,-0.14285714285714285
no leave it,0.0
sorry no,-0.5
no incorrect,0.0
nope sorry,-0.5
I say no,0.0
not really,-0.1
not right now thanks,0.02857142857142858
I think no,0.0
absolutely no,-0.1
no actually,0.0
apparently not,-0.025
no do not,0.0
no just no,0.0
no but thank you,0.0
no need thanks,0.2
no thank you though,0.0
no thank you very much,0.26
no thanks not right now,-0.12142857142857143
no forget,0.0
wait a second,0.0
could you wait,0.0
wait please,0.0
hold on,0.0
wait,0.0
oh wait,0.0
wait hold on,0.0
don't rush,0.0
wanna hug,0.0
hug you,0.0
do you want a hug,0.0
may I hug you,0.0
could you give me a hug,0.0
I want a hug,0.0
hug,0.0
hug me,0.0
hugged,0.0
you hugged,0.0
hugging,0.0
hugging me,0.0
hugged me,0.0
want a hug,0.0
a hug,0.0
I don't care,0.0
I shouldn't care about this,0.0
whatever,0.0
I do not care,0.0
I don't care at all,0.0
not caring,0.0
not care at all,0.0
don't care at all,0.0
not caring at all,0.0
i dont care,0.0
i DONT CARE,0.0
excuse me,-0.05
apologis/e,0.0
I apologize,0.0
sorry,-0.5
I'm sorry,-0.5
I am so sorry,-0.5
my apologies,0.0
apologies,0.0
apologies to me,0.0
apology,0.0
excuse,-0.05
I beg your pardon,0.0
pardon,0.0
I said sorry,-0.5
I am really sorry,-0.5
forgive me,0.0
sorry about that,-0.5
sorry about this,-0.5
really sorry,-0.5
very sorry,-0.65
ok sorry,0.0
I want to say sorry,-0.5
alright I'm sorry,-0.5
okay I'm sorry,0.0
what exactly do you mean,-0.03125
what do you mean,-0.3125
is that what you mean,-0.3125
what do you mean exactly,-0.03125
but what do you mean,-0.3125
that was wrong,-0.5
that's not what I asked,0.0
that's wrong,-0.5
wrong,-0.5
it is not right,-0.14285714285714285
that's not right,-0.14285714285714285
it's wrong,-0.5
that is incorrect,0.0
incorrect,0.0
not correct,0.0
you are wrong,-0.5
not right,-0.14285714285714285
huh,0.0
lol,0.8
xd,0.0
ha ha,0.0
ahahah,0.0
ahah lol,0.8
laughing out loud,0.1
LMAO,0.6
that's funny,0.25
ah,0.0
ah ah ah,0.0
ahah,0.0
ahaha,0.0
ahahaha,0.0
ha,0.0
ha ha ha,0.0
ha ha ha ha,0.0
hah,0.0
haha,0.2
haha funny,0.225
haha haha haha,0.20000000000000004
haha that's funny,0.225
haha very funny,0.2625
hahaha,0.2
hahaha funny,0.225
hahaha very funny,0.2625
he,0.0
hehe,0.0
hehehe,0.0
lmao,0.6
you are so funny,0.25
wow,0.1
wow wow,0.1
